
 220.480334 	mm
 45.302479 	mm
 42.658719 	mm
 40.332645 	mm
 39.522105 	mm
 38.292412 	mm
 37.594507 	mm
 37.248858 	mm
 36.850932 	mm
 36.334353 	mm
 35.643313 	mm
 35.260814 	mm
 35.019375 	mm
 34.688589 	mm
 34.561569 	mm
 34.182434 	mm
 34.067697 	mm
 33.962636 	mm
 33.871501 	mm
 33.644958 	mm
 33.662635 	mm
 33.567720 	mm
 33.521049 	mm
 33.435640 	mm
 33.386370 	mm
 33.331749 	mm
 33.362894 	mm
 33.290952 	mm
 33.324908 	mm
 36.620404 	mm
 36.523604 	mm
 36.499199 	mm
 36.415229 	mm
 36.419284 	mm
 36.387521 	mm
 36.265683 	mm
 36.375460 	mm
 36.445515 	mm
 36.447972 	mm
 36.355134 	mm
 36.331137 	mm
 36.330584 	mm
 36.238271 	mm
