
 36.004193 	mm
 16.676003 	mm
 15.604242 	mm
 14.000838 	mm
 13.740475 	mm
 13.310011 	mm
 13.113572 	mm
 13.018442 	mm
 12.932187 	mm
 12.864035 	mm
 12.739513 	mm
 12.740111 	mm
 12.691073 	mm
 12.690109 	mm
 12.663673 	mm
 12.609099 	mm
 12.605618 	mm
 12.602025 	mm
 12.620913 	mm
 12.623140 	mm
 12.635467 	mm
 12.606980 	mm
 12.629039 	mm
 12.602584 	mm
 12.604053 	mm
 12.590614 	mm
 12.599414 	mm
 12.591591 	mm
 12.595869 	mm
 12.861821 	mm
 12.851742 	mm
 12.850624 	mm
 12.818033 	mm
 12.811954 	mm
 12.789722 	mm
 12.804408 	mm
 12.795348 	mm
 12.776021 	mm
 12.794674 	mm
 12.792174 	mm
 12.780420 	mm
 12.783533 	mm
 12.784925 	mm
